a	a |
inafanya	i n a f a n y a |
inafanyaka	i n a f a n y a k a |
inafanyika	i n a f a n y i k a |
inafata	i n a f a t a |
inafataka	i n a f a t a k a |
inafatana	i n a f a t a n a |
inafatanaka	i n a f a t a n a k a |
inafatilia	i n a f a t i l i a |
inaficha	i n a f i c h a |
inafika	i n a f i k a |
inafikaka	i n a f i k a k a |
inafikiria	i n a f i k i r i a |
inafuatilia	i n a f u a t i l i a |
inafuatiliwa	i n a f u a t i l i w a |
inafufuka	i n a f u f u k a |
inafunga	i n a f u n g a |
inafungua	i n a f u n g u a |
inafungula	i n a f u n g u l a |
inafungulaka	i n a f u n g u l a k a |
inafunguliwa	i n a f u n g u l i w a |
inafungwa	i n a f u n g w a |
inafunika	i n a f u n i k a |
inafunikia	i n a f u n i k i a |
inafunikiwa	i n a f u n i k i w a |
inagabua	i n a g a b u a |
inagabulika	i n a g a b u l i k a |
inagabuliwa	i n a g a b u l i w a |
inagaramia	i n a g a r a m i a |
inagarimu	i n a g a r i m u |
inagawa	i n a g a w a |
inagawanywa	i n a g a w a n y w a |
inageuka	i n a g e u k a |
inagundua	i n a g u n d u a |
inagundulika	i n a g u n d u l i k a |
inagunduliwa	i n a g u n d u l i w a |
inagusa	i n a g u s a |
inahakikisha	i n a h a k i k i s h a |
inahakikishwa	i n a h a k i k i s h w a |
inaharakisha	i n a h a r a k i s h a |
inaharibika	i n a h a r i b i k a |
inahatarisha	i n a h a t a r i s h a |
inahesabu	i n a h e s a b u |
inaheshimiwa	i n a h e s h i m i w a |
inahimiza	i n a h i m i z a |
inahitajika	i n a h i t a j i k a |
inahukumu	i n a h u k u m u |
inahusiana	i n a h u s i a n a |
inahusika	i n a h u s i k a |
inahusisha	i n a h u s i s h a |
inahusu	i n a h u s u |
inaikokota	i n a i k o k o t a |
inaimba	i n a i m b a |
inaisha	i n a i s h a |
inaishi	i n a i s h i |
inaitika	i n a i t i k a |
inaitwa	i n a i t w a |
inaizunguruka	i n a i z u n g u r u k a |
inajaa	i n a j a a |
inajali	i n a j a l i |
inajieleza	i n a j i e l e z a |
inajifunza	i n a j i f u n z a |
inajigonga	i n a j i g o n g a |
inajitayarisha	i n a j i t a y a r i s h a |
inajitokeza	i n a j i t o k e z a |
inajitokezaka	i n a j i t o k e z a k a |
inajua	i n a j u a |
inajulikana	i n a j u l i k a n a |
inakamata	i n a k a m a t a |
inakamataka	i n a k a m a t a k a |
inakaribia	i n a k a r i b i a |
inakataa	i n a k a t a a |
inakatala	i n a k a t a l a |
inakataziwa	i n a k a t a z i w a |
inakatazwa	i n a k a t a z w a |
inakauka	i n a k a u k a |
inakaushaka	i n a k a u s h a k a |
inakimbia	i n a k i m b i a |
inakinga	i n a k i n g a |
inakokota	i n a k o k o t a |
inakomala	i n a k o m a l a |
inakomalaka	i n a k o m a l a k a |
inakosa	i n a k o s a |
inakosaka	i n a k o s a k a |
inakuangalia	i n a k u a n g a l i a |
inakuaya	i n a k u a y a |
inakubalika	i n a k u b a l i k a |
inakubaliwa	i n a k u b a l i w a |
inakuchunguza	i n a k u c h u n g u z a |
inakufa	i n a k u f a |
inakufaka	i n a k u f a k a |
inakufanya	i n a k u f a n y a |
inakuja	i n a k u j a |
inakujulisha	i n a k u j u l i s h a |
inakukabizi	i n a k u k a b i z i |
inakula	i n a k u l a |
inakuleteaka	i n a k u l e t e a k a |
inakunywa	i n a k u n y w a |
inakuomba	i n a k u o m b a |
inakuruhusu	i n a k u r u h u s u |
inakusanya	i n a k u s a n y a |
inakusanyika	i n a k u s a n y i k a |
inakutanana	i n a k u t a n a n a |
inakutaniwa	i n a k u t a n i w a |
inakutia	i n a k u t i a |
inakuuzi	i n a k u u z i |
inakuwa	i n a k u w a |
inakuwaka	i n a k u w a k a |
inalala	i n a l a l a |
inalaliwa	i n a l a l i w a |
inalaumu	i n a l a u m u |
inalenga	i n a l e n g a |
inaleta	i n a l e t a |
inaletaka	i n a l e t a k a |
inaletea	i n a l e t e a |
inalia	i n a l i a |
inalingana	i n a l i n g a n a |
inalinganishaka	i n a l i n g a n i s h a k a |
inalipa	i n a l i p a |
inalotetea	i n a l o t e t e a |
inaluma	i n a l u m a |
inalungula	i n a l u n g u l a |
inalungulaka	i n a l u n g u l a k a |
inamaanisha	i n a m a a n i s h a |
inammanisha	i n a m m a n i s h a |
inamufanya	i n a m u f a n y a |
inamufuatilia	i n a m u f u a t i l i a |
inamupatiaka	i n a m u p a t i a k a |
inamupenda	i n a m u p e n d a |
inamushituwa	i n a m u s h i t u w a |
inamusirikishaka	i n a m u s i r i k i s h a k a |
inamutawala	i n a m u t a w a l a |
inamwangalia	i n a m w a n g a l i a |
inanafanaka	i n a n a f a n a k a |
inangoa	i n a n g o a |
inangurumaka	i n a n g u r u m a k a |
inanibidi	i n a n i b i d i |
inanichanganya	i n a n i c h a n g a n y a |
inanielemea	i n a n i e l e m e a |
inanifikia	i n a n i f i k i a |
inanifurahisha	i n a n i f u r a h i s h a |
inanigonjwesha	i n a n i g o n j w e s h a |
inanihitaji	i n a n i h i t a j i |
inaniluma	i n a n i l u m a |
inaniogopesha	i n a n i o g o p e s h a |
inaniogopeshaka	i n a n i o g o p e s h a k a |
inaniongoza	i n a n i o n g o z a |
inanipa	i n a n i p a |
inanisaidia	i n a n i s a i d i a |
inanisirikishaka	i n a n i s i r i k i s h a k a |
inanitia	i n a n i t i a |
inanitokea	i n a n i t o k e a |
inaniuwa	i n a n i u w a |
inaniwasha	i n a n i w a s h a |
inanuka	i n a n u k a |
inaogopesha	i n a o g o p e s h a |
inaomba	i n a o m b a |
inaona	i n a o n a |
inaondoa	i n a o n d o a |
inaondoaka	i n a o n d o a k a |
inaonekana	i n a o n e k a n a |
inaonekanaka	i n a o n e k a n a k a |
inaonesha	i n a o n e s h a |
inaoneshwa	i n a o n e s h w a |
inaongeza	i n a o n g e z a |
inaongezeka	i n a o n g e z e k a |
inaonya	i n a o n y a |
inaonyesha	i n a o n y e s h a |
inaotaka	i n a o t a k a |
inapachika	i n a p a c h i k a |
inapamba	i n a p a m b a |
inapana	i n a p a n a |
inapanaka	i n a p a n a k a |
inapandaka	i n a p a n d a k a |
inapanga	i n a p a n g a |
inapangwa	i n a p a n g w a |
inapashwa	i n a p a s h w a |
inapasula	i n a p a s u l a |
inapaswa	i n a p a s w a |
inapata	i n a p a t a |
inapataka	i n a p a t a k a |
inapatia	i n a p a t i a |
inapatikana	i n a p a t i k a n a |
inapelekea	i n a p e l e k e a |
inapendekeza	i n a p e n d e k e z a |
inapendekezwa	i n a p e n d e k e z w a |
inapendeza	i n a p e n d e z a |
inapendwa	i n a p e n d w a |
inapigaga	i n a p i g a g a |
inapiganisha	i n a p i g a n i s h a |
inapima	i n a p i m a |
inapinga	i n a p i n g a |
inapishana	i n a p i s h a n a |
inapita	i n a p i t a |
inapitikana	i n a p i t i k a n a |
inapo	i n a p o |
inapochanganywa	i n a p o c h a n g a n y w a |
inaporudi	i n a p o r u d i |
inapotea	i n a p o t e a |
inapotokea	i n a p o t o k e a |
inapovusha	i n a p o v u s h a |
inapulizwa	i n a p u l i z w a |
inapumzika	i n a p u m z i k a |
inapunguza	i n a p u n g u z a |
inapuuza	i n a p u u z a |
inapuuziwa	i n a p u u z i w a |
inarahisisha	i n a r a h i s i s h a |
inarekodiwa	i n a r e k o d i w a |
inaripoti	i n a r i p o t i |
inarudia	i n a r u d i a |
inarudiliaka	i n a r u d i l i a k a |
inarudiliwa	i n a r u d i l i w a |
inaruhusiwa	i n a r u h u s i w a |
inaruhusu	i n a r u h u s u |
inasababisha	i n a s a b a b i s h a |
inasababishwa	i n a s a b a b i s h w a |
inasafisha	i n a s a f i s h a |
inasafishaka	i n a s a f i s h a k a |
inasaga	i n a s a g a |
inasaidia	i n a s a i d i a |
inasaidiaka	i n a s a i d i a k a |
inasambarana	i n a s a m b a r a n a |
inasambazwa	i n a s a m b a z w a |
inasamehe	i n a s a m e h e |
inasaulikaka	i n a s a u l i k a k a |
inasema	i n a s e m a |
inasemeka	i n a s e m e k a |
inasemekana	i n a s e m e k a n a |
inasemewaka	i n a s e m e w a k a |
inashakia	i n a s h a k i a |
inashangaza	i n a s h a n g a z a |
inashauri	i n a s h a u r i |
inashauriwa	i n a s h a u r i w a |
inashawishi	i n a s h a w i s h i |
inashimama	i n a s h i m a m a |
inashindaka	i n a s h i n d a k a |
inashukaka	i n a s h u k a k a |
inashusha	i n a s h u s h a |
inasikia	i n a s i k i a |
inasikilikana	i n a s i k i l i k a n a |
inasikitisha	i n a s i k i t i s h a |
inasimulia	i n a s i m u l i a |
inasindikiziwa	i n a s i n d i k i z i w a |
inasinzia	i n a s i n z i a |
inasirikishaka	i n a s i r i k i s h a k a |
inasisitiza	i n a s i s i t i z a |
inastahili	i n a s t a h i l i |
inasumbua	i n a s u m b u a |
inasumulia	i n a s u m u l i a |
inata	i n a t a |
inataka	i n a t a k a |
inatangaza	i n a t a n g a z a |
inatangazaka	i n a t a n g a z a k a |
inatarajia	i n a t a r a j i a |
inatayarisha	i n a t a y a r i s h a |
inategemea	i n a t e g e m e a |
inatembea	i n a t e m b e a |
inatembelea	i n a t e m b e l e a |
inatembeleaka	i n a t e m b e l e a k a |
inatengeneza	i n a t e n g e n e z a |
inatesa	i n a t e s a |
inatetea	i n a t e t e a |
inatetemeka	i n a t e t e m e k a |
inatiaka	i n a t i a k a |
inatoa	i n a t o a |
inatoboka	i n a t o b o k a |
inatoka	i n a t o k a |
inatokaka	i n a t o k a k a |
inatokana	i n a t o k a n a |
inatokea	i n a t o k e a |
inatokeaka	i n a t o k e a k a |
inatolewa	i n a t o l e w a |
inatosha	i n a t o s h a |
inatoshaka	i n a t o s h a k a |
inatowa	i n a t o w a |
inatuangalia	i n a t u a n g a l i a |
inatuliaka	i n a t u l i a k a |
inatuma	i n a t u m a |
inatumia	i n a t u m i a |
inatumika	i n a t u m i k a |
inatumikaka	i n a t u m i k a k a |
inatumikishiwa	i n a t u m i k i s h i w a |
inatumikishwa	i n a t u m i k i s h w a |
inatumiwa	i n a t u m i w a |
inatungoja	i n a t u n g o j a |
inatunyima	i n a t u n y i m a |
inatuomba	i n a t u o m b a |
inatuonesha	i n a t u o n e s h a |
inatusukumaka	i n a t u s u k u m a k a |
inatutoka	i n a t u t o k a |
inaumiza	i n a u m i z a |
inaunda	i n a u n d a |
inaundwa	i n a u n d w a |
inauwa	i n a u w a |
inauwaka	i n a u w a k a |
inauzishwa	i n a u z i s h w a |
inauziwa	i n a u z i w a |
inavuma	i n a v u m a |
inavunja	i n a v u n j a |
inavutia	i n a v u t i a |
inavutiaka	i n a v u t i a k a |
inavyo	i n a v y o |
inawafanya	i n a w a f a n y a |
inawafurahishaka	i n a w a f u r a h i s h a k a |
inawaka	i n a w a k a |
inawakilisha	i n a w a k i l i s h a |
inawaruhusu	i n a w a r u h u s u |
inawasaidia	i n a w a s a i d i a |
inaweka	i n a w e k a |
inawekwa	i n a w e k w a |
inaweza	i n a w e z a |
inawezakana	i n a w e z a k a n a |
inawezekana	i n a w e z e k a n a |
inawinda	i n a w i n d a |
inayala	i n a y a l a |
inayo	i n a y o |
inayohusisha	i n a y o h u s i s h a |
inayokua	i n a y o k u a |
inayowakabili	i n a y o w a k a b i l i |
inazala	i n a z a l a |
inazama	i n a z a m a |
inazaniwa	i n a z a n i w a |
inazidi	i n a z i d i |
inazowea	i n a z o w e a |
inazuia	i n a z u i a |
inazungukwa	i n a z u n g u k w a |
inazungumuza	i n a z u n g u m u z a |
inazuwia	i n a z u w i a |
inchi	i n c h i |
inchini	i n c h i n i |
india	i n d i a |
indice	i n d i c e |
indonesia	i n d o n e s i a |
industrial	i n d u s t r i a l |
ine	i n e |
informaticiens	i n f o r m a t i c i e n s |
informatique	i n f o r m a t i q u e |
ingali	i n g a l i |
ingawa	i n g a w a |
ingeeleweka	i n g e e l e w e k a |
ingefanywa	i n g e f a n y w a |
ingefika	i n g e f i k a |
ingeitwa	i n g e i t w a |
ingekua	i n g e k u a |
ingekufanya	i n g e k u f a n y a |
ingekuwa	i n g e k u w a |
ingekuwaka	i n g e k u w a k a |
ingenierie	i n g e n i e r i e |
ingenyesha	i n g e n y e s h a |
ingeongezeka	i n g e o n g e z e k a |
ingepashwa	i n g e p a s h w a |
ingepotea	i n g e p o t e a |
ingesababisha	i n g e s a b a b i s h a |
ingesoma	i n g e s o m a |
ingetosha	i n g e t o s h a |
ingeundwa	i n g e u n d w a |
ingevunjika	i n g e v u n j i k a |
ingeweza	i n g e w e z a |
ingezuwia	i n g e z u w i a |
ingia	i n g i a |
ingine	i n g i n e |
ingiya	i n g i y a |
ingiye	i n g i y e |
ingiza	i n g i z a |
ini	i n i |
iniamuwe	i n i a m u w e |
initaka	i n i t a k a |
inje	i n j e |
inslee	i n s l e e |
inspekta	i n s p e k t a |
installer	i n s t a l l e r |
intelligence	i n t e l l i g e n c e |
interaksyon	i n t e r a k s y o n |
interdite	i n t e r d i t e |
interfaces	i n t e r f a c e s |
international	i n t e r n a t i o n a l |
internet	i n t e r n e t |
interrupteur	i n t e r r u p t e u r |
intervalle	i n t e r v a l l e |
intime	i n t i m e |
inua	i n u a |
inuliwa	i n u l i w a |
inwezekana	i n w e z e k a n a |
inzi	i n z i |
iode	i o d e |
iona	i o n a |
ionekane	i o n e k a n e |
ioneshe	i o n e s h e |
ios	i o s |
iotee	i o t e e |
ipasavyo	i p a s a v y o |
ipate	i p a t e |
ipatikane	i p a t i k a n e |
ipiga	i p i g a |
ipite	i p i t e |
ipoteze	i p o t e z e |
ipumzike	i p u m z i k e |
ipunguze	i p u n g u z e |
ipunguzwe	i p u n g u z w e |
ira	i r a |
irak	i r a k |
iran	i r a n |
irani	i r a n i |
irlande	i r l a n d e |
irudishwe	i r u d i s h w e |
isha	i s h a |
ishara	i s h a r a |
ishi	i s h i |
ishirini	i s h i r i n i |
isifiwe	i s i f i w e |
isifunguwe	i s i f u n g u w e |
isiililie	i s i i l i l i e |
isiingie	i s i i n g i e |
isikuwe	i s i k u w e |
isindikiza	i s i n d i k i z a |
isingelikua	i s i n g e l i k u a |
isipo	i s i p o |
isipokuwa	i s i p o k u w a |
isiteketee	i s i t e k e t e e |
isiyo	i s i y o |
islande	i s l a n d e |
isopokuwa	i s o p o k u w a |
isopropanol	i s o p r o p a n o l |
isopropylique	i s o p r o p y l i q u e |
isotherme	i s o t h e r m e |
israel	i s r a e l |
israeli	i s r a e l i |
istanbul	i s t a n b u l |
isukumbue	i s u k u m b u e |
it	i t |
ita	i t a |
itaanza	i t a a n z a |
itaanzisha	i t a a n z i s h a |
itabadilika	i t a b a d i l i k a |
itabaki	i t a b a k i |
itabakia	i t a b a k i a |
itabidi	i t a b i d i |
itachezea	i t a c h e z e a |
itadanganya	i t a d a n g a n y a |
itadumu	i t a d u m u |
itaendelea	i t a e n d e l e a |
itafanya	i t a f a n y a |
itafanyika	i t a f a n y i k a |
itafata	i t a f a t a |
itafifia	i t a f i f i a |
itafika	i t a f i k a |
itafunguliwa	i t a f u n g u l i w a |
itafurahisha	i t a f u r a h i s h a |
itafuta	i t a f u t a |
itagonga	i t a g o n g a |
itaingia	i t a i n g i a |
itaisha	i t a i s h a |
itaishia	i t a i s h i a |
itajaa	i t a j a a |
itakapofika	i t a k a p o f i k a |
itakayo	i t a k a y o |
itaksikitisha	i t a k s i k i t i s h a |
itakua	i t a k u a |
itakubidi	i t a k u b i d i |
itakuja	i t a k u j a |
itakumbwa	i t a k u m b w a |
itakuomba	i t a k u o m b a |
itakusaidia	i t a k u s a i d i a |
itakusumbua	i t a k u s u m b u a |
itakuwa	i t a k u w a |
itali	i t a l i |
italia	i t a l i a |
italomba	i t a l o m b a |
itamalizika	i t a m a l i z i k a |
itamuchukua	i t a m u c h u k u a |
itamwangika	i t a m w a n g i k a |
itangaza	i t a n g a z a |
itangazwe	i t a n g a z w e |
itanyesha	i t a n y e s h a |
itaomba	i t a o m b a |
itaondoa	i t a o n d o a |
itaondowa	i t a o n d o w a |
itaonekana	i t a o n e k a n a |
itaongezeka	i t a o n g e z e k a |
itapangwa	i t a p a n g w a |
itapasuka	i t a p a s u k a |
itapatikana	i t a p a t i k a n a |
itapelekwa	i t a p e l e k w a |
itapiga	i t a p i g a |
itapigwa	i t a p i g w a |
itapita	i t a p i t a |
itapitishwa	i t a p i t i s h w a |
itapona	i t a p o n a |
itapotea	i t a p o t e a |
itapunguza	i t a p u n g u z a |
itaroana	i t a r o a n a |
itasababisha	i t a s a b a b i s h a |
itasaidia	i t a s a i d i a |
itashuka	i t a s h u k a |
itasikitisha	i t a s i k i t i s h a |
itatangaza	i t a t a n g a z a |
itatayarishwa	i t a t a y a r i s h w a |
itatia	i t a t i a |
itatoa	i t a t o a |
itatoka	i t a t o k a |
itatokana	i t a t o k a n a |
itatokea	i t a t o k e a |
itatowa	i t a t o w a |
itatubidi	i t a t u b i d i |
itatufikia	i t a t u f i k i a |
itatufikisha	i t a t u f i k i s h a |
itatukutanisha	i t a t u k u t a n i s h a |
itatumia	i t a t u m i a |
itatumika	i t a t u m i k a |
itatumikishwa	i t a t u m i k i s h w a |
itatutetea	i t a t u t e t e a |
itatuwiya	i t a t u w i y a |
itauwa	i t a u w a |
itawasaidia	i t a w a s a i d i a |
itaweka	i t a w e k a |
itayayuka	i t a y a y u k a |
itazidi	i t a z i d i |
itazuwia	i t a z u w i a |
itika	i t i k a |
itiririke	i t i r i r i k e |
itoke	i t o k e |
itokee	i t o k e e |
itolewe	i t o l e w e |
itoroke	i t o r o k e |
ituletee	i t u l e t e e |
itwa	i t w a |
ivaliwe	i v a l i w e |
ivi	i v i |
ivo	i v o |
ivyo	i v y o |
iwasaidie	i w a s a i d i e |
iwe	i w e |
iweze	i w e z e |
iwezekanavyo	i w e z e k a n a v y o |
iyi	i y i |
iyo	i y o |
izingatiwe	i z i n g a t i w e |
j	j |
ĵ	ĵ |
j12	j 1 2 |
j23	j 2 3 |
j37	j 3 7 |
jack	j a c k |
jackie	j a c k i e |
jackson	j a c k s o n |
jacques	j a c q u e s |
jaein	j a e i n |
jaime	j a i m e |
jair	j a i r |
jaji	j a j i |
jake	j a k e |
jalada	j a l a d a |
jali	j a l i |
jama	j a m a |
jamaa	j a m a a |
jambazi	j a m b a z i |
“jambo”	“ j a m b o ” |
jambo	j a m b o |
james	j a m e s |
jamii	j a m i i |
jamuhuri	j a m u h u r i |
jana	j a n a |
janata	j a n a t a |
jane	j a n e |
janeen	j a n e e n |
janga	j a n g a |
jangwa	j a n g w a |
januari	j a n u a r i |
janus	j a n u s |
japan	j a p a n |
japani	j a p a n i |
jardin	j a r d i n |
jaribio	j a r i b i o |
jaribu	j a r i b u |
jasho	j a s h o |
jasiri	j a s i r i |
jason	j a s o n |
jaune	j a u n e |
jay	j a y |
jazz	j a z z |
je	j e |
jean	j e a n |
jeane	j e a n e |
jeanne	j e a n n e |
jeannot	j e a n n o t |
jeff	j e f f |
jeffrey	j e f f r e y |
jehanamu	j e h a n a m u |
jehenama	j e h e n a m a |
jela	j e l a |
jemadari	j e m a d a r i |
jengo	j e n g o |
jengwa	j e n g w a |
jennifer	j e n n i f e r |
jenny	j e n n y |
jérome	j é r o m e |
jerry	j e r r y |
jersey	j e r s e y |
jeshi	j e s h i |
jesse	j e s s e |
jessica	j e s s i c a |
jessie	j e s s i e |
jeton	j e t o n |
jeux	j e u x |
ji	j i |
jiaminie	j i a m i n i e |
jian	j i a n |
jianghan	j i a n g h a n |
jibia	j i b i a |
jibu	j i b u |
jidanganya	j i d a n g a n y a |
jifasiria	j i f a s i r i a |
jificha	j i f i c h a |
jifichaka	j i f i c h a k a |
jifunza	j i f u n z a |
jifunze	j i f u n z e |
jigeuza	j i g e u z a |
jiheshimu	j i h e s h i m u |
jihusisha	j i h u s i s h a |
jijuwa	j i j u w a |
jikamatia	j i k a m a t i a |
jiko	j i k o |
jim	j i m |
jimbo	j i m b o |
jimboni	j i m b o n i |
jimi	j i m i |
jimmy	j i m m y |
jina	j i n a |
jinping	j i n p i n g |
jinsi	j i n s i |
jinsia	j i n s i a |
jiografia	j i o g r a f i a |
jioni	j i o n i |
jipamba	j i p a m b a |
jipe	j i p e |
jipenda	j i p e n d a |
jirani	j i r a n i |
jisikia	j i s i k i a |
jisikie	j i s i k i e |
jitafutie	j i t a f u t i e |
jitahidi	j i t a h i d i |
jitangaza	j i t a n g a z a |
jitayarisha	j i t a y a r i s h a |
jitegemea	j i t e g e m e a |
jitoe	j i t o e |
jitokeza	j i t o k e z a |
jitolea	j i t o l e a |
jiunga	j i u n g a |
jiunge	j i u n g e |
jiwe	j i w e |
jixian	j i x i a n |
jo	j o |
joan	j o a n |
joe	j o e |
joel	j o e l |
johansson	j o h a n s s o n |
john	j o h n |
johnny	j o h n n y |
johns	j o h n s |
johnshopkins	j o h n s h o p k i n s |
johnson	j o h n s o n |
jon	j o n |
jonathan	j o n a t h a n |
jones	j o n e s |
jordan	j o r d a n |
josé	j o s é |
josep	j o s e p |
joseph	j o s e p h |
joto	j o t o |
journal	j o u r n a l |
jua	j u a |
judaisme	j u d a i s m e |
judan	j u d a n |
juge	j u g e |
juhudi	j u h u d i |
jukumu	j u k u m u |
jukwa	j u k w a |
jules	j u l e s |
julia	j u l i a |
julie	j u l i e |
julikana	j u l i k a n a |
julisha	j u l i s h a |
juma	j u m a |
jumelles	j u m e l l e s |
jumla	j u m l a |
jumuiya	j u m u i y a |
junior	j u n i o r |
juno	j u n o |
junon	j u n o n |
jupiter	j u p i t e r |
jura	j u r a |
jus	j u s |
justin	j u s t i n |
juu	j u u |
juwa	j u w a |
juy	j u y |
k	k |
ka	k a |
kaa	k a a |
kabala	k a b a l a |
kabambi	k a b a m b i |
kabati	k a b a t i |
kabila	k a b i l a |
kabiliana	k a b i l i a n a |
kabine	k a b i n e |
kabisa	k a b i s a |
kabla	k a b l a |
kabumbu	k a b u m b u |
kaburi	k a b u r i |
kabyle	k a b y l e |
kabyles	k a b y l e s |
kadi	k a d i |
kadiri	k a d i r i |
kadogo	k a d o g o |
kafanya	k a f a n y a |
kafara	k a f a r a |
kahawa	k a h a w a |
kaisari	k a i s a r i |
kajungio	k a j u n g i o |
kaka	k a k a |
kakamba	k a k a m b a |
kala	k a l a |
kalamu	k a l a m u |
kalanga	k a l a n g a |
kale	k a l e |
kalenda	k a l e n d a |
kali	k a l i |
kama	k a m a |
kamali	k a m a l i |
kamanda	k a m a n d a |
kamata	k a m a t a |
kamati	k a m a t i |
kamatiwa	k a m a t i w a |
kamatwa	k a m a t w a |
kamba	k a m b a |
kambi	k a m b i |
kambo	k a m b o |
kamera	k a m e r a |
kamili	k a m i l i |
kamilika	k a m i l i k a |
kamishna	k a m i s h n a |
kampeni	k a m p e n i |
kampi	k a m p i |
kampuni	k a m p u n i |
kamui	k a m u i |
kamwe	k a m w e |
kana	k a n a |
kanali	k a n a l i |
kanda	k a n d a |
kandanda	k a n d a n d a |
kando	k a n d o |
kandokando	k a n d o k a n d o |
kanisa	k a n i s a |
kanuni	k a n u n i |
kanzu	k a n z u |
kapitene	k a p i t e n e |
kapitula	k a p i t u l a |
kaputula	k a p u t u l a |
kara	k a r a |
karani	k a r a n i |
karata	k a r a t a |
karatasi	k a r a t a s i |
karboni	k a r b o n i |
karen	k a r e n |
karibia	k a r i b i a |
karibiana	k a r i b i a n a |
karibisha	k a r i b i s h a |
karibu	k a r i b u |
karl	k a r l |
